Labels,No. of instances,No. of unique particpants,Details
camera,151,13,"Counter({'P423': 50, 'P425': 27, 'P417': 20, 'P431': 13, 'P420': 10, 'P415': 7, 'P419': 7, 'P429': 6, 'P427': 4, 'P404': 3, 'P411': 2, 'P409': 1, 'P410': 1})"
walking,62,8,"Counter({'P404': 37, 'P411': 12, 'P423': 4, 'P409': 3, 'P420': 3, 'P405': 1, 'P421': 1, 'P417': 1})"
"walking, shopping",37,1,Counter({'P423': 37})
"sitting, public_transit, phone",17,2,"Counter({'P411': 16, 'P423': 1})"
sitting,12,4,"Counter({'P423': 9, 'P417': 1, 'P420': 1, 'P431': 1})"
"walking, fidgeting",11,3,"Counter({'P404': 6, 'P411': 4, 'P423': 1})"
"sitting, phone",6,3,"Counter({'P423': 3, 'P420': 2, 'P411': 1})"
talking,3,1,Counter({'P411': 3})
bathroom,3,2,"Counter({'P411': 2, 'P416': 1})"
"walking, phone",3,3,"Counter({'P411': 1, 'P423': 1, 'P419': 1})"
"walking, cleaning",2,2,"Counter({'P419': 1, 'P429': 1})"
smoking,2,1,Counter({'P431': 2})
"sitting, fidgeting",2,2,"Counter({'P411': 1, 'P425': 1})"
"sitting, eating",2,1,Counter({'P431': 2})
"sitting, computer, writing",2,1,Counter({'P404': 2})
"walking, carrying",2,1,Counter({'P423': 2})
driving,2,2,"Counter({'P419': 1, 'P416': 1})"
"driving, fidgeting",2,1,Counter({'P412': 2})
phone,2,1,Counter({'P411': 2})
fidgeting,2,1,Counter({'P411': 2})
"standing, fidgeting",1,1,Counter({'P404': 1})
"walking, smoking",1,1,Counter({'P431': 1})
"stairs, sitting, public_transit",1,1,Counter({'P423': 1})
stairs,1,1,Counter({'P411': 1})
"sitting, public_transit, phone, carrying",1,1,Counter({'P423': 1})
"walking, stairs",1,1,Counter({'P411': 1})
"stairs, walking",1,1,Counter({'P404': 1})
"sitting, drinking",1,1,Counter({'P411': 1})
"sitting, public_transit",1,1,Counter({'P423': 1})
"bathroom, cleaning",1,1,Counter({'P411': 1})
"sitting, TV, fidgeting",1,1,Counter({'P429': 1})
"sitting, TV",1,1,Counter({'P423': 1})
"shopping, carrying",1,1,Counter({'P423': 1})
shopping,1,1,Counter({'P423': 1})
"phone, fidgeting",1,1,Counter({'P415': 1})
"phone, TV",1,1,Counter({'P421': 1})
"eating, walking",1,1,Counter({'P429': 1})
"eating, cleaning, drinking, phone",1,1,Counter({'P420': 1})
eating,1,1,Counter({'P419': 1})
"driving, phone",1,1,Counter({'P419': 1})
"drinking, walking",1,1,Counter({'P420': 1})
computer,1,1,Counter({'P431': 1})
washing_dishes,1,1,Counter({'P419': 1})
