level_0,index,Participant,State,Activity,Minute,MET (Google Fit),Datetime,Watch Intensity,MET (Ainsworth),MET (Freedson),MET (VM3),model_classification,scaled_intensity,estimation
0,0,P409,lab,computer,1,0.9246123708933266,2019-11-07 13:51:00,0.4289834533893877,1.3,1.439008,0.673191,0,1.4650303635023507,1.4650303635023507
1,1,P409,lab,computer,2,0.9246123708933266,2019-11-07 13:52:00,0.4605381547662074,1.3,1.439008,0.668876,0,1.4771694886767148,1.4771694886767148
2,2,P409,lab,computer,3,0.9246123708933266,2019-11-07 13:53:00,0.48616656214601706,1.3,1.439008,0.668876,0,1.487028762624135,1.487028762624135
3,3,P409,lab,computer,4,0.9246123708933266,2019-11-07 13:54:00,0.4545517033459746,1.3,1.439008,0.668876,0,1.4748664948289,1.4748664948289
4,4,P409,lab,computer,5,0.9246123708933266,2019-11-07 13:55:00,0.6065447731461828,1.3,1.439008,0.668876,0,1.5333383807741097,1.5
5,5,P409,lab,breathing,1,1.0401889172549923,2019-11-07 13:58:00,0.017770757466168182,1.0,1.439008,0.668876,-1,1.3068364281679925,1.3068364281679925
6,6,P409,lab,breathing,2,1.0401889172549923,2019-11-07 13:59:00,0.016064870268478627,1.0,1.439008,0.668876,0,1.3061801716571542,1.3061801716571542
7,7,P409,lab,breathing,3,1.0401889172549923,2019-11-07 14:00:00,0.014658062453308213,1.0,1.439008,0.668876,-1,1.30563897128385,1.30563897128385
8,8,P409,lab,breathing,4,1.0401889172549923,2019-11-07 14:01:00,0.017841882957919632,1.0,1.439008,0.668876,-1,1.306863790215795,1.306863790215795
9,9,P409,lab,breathing,5,1.0401889172549923,2019-11-07 14:02:00,0.0227578488230006,1.0,1.439008,0.668876,0,1.3087549672000571,1.3087549672000571
15,15,P409,lab,breathing,1,0.8090358245316608,2019-11-07 14:14:00,0.04572846572563465,1.0,1.439008,0.668876,0,1.3175917864931177,1.3175917864931177
16,16,P409,lab,breathing,2,0.8090358245316608,2019-11-07 14:15:00,0.02760009299441509,1.0,1.439008,0.668876,0,1.3106177833750443,1.3106177833750443
17,17,P409,lab,breathing,3,0.8090358245316608,2019-11-07 14:16:00,0.023445986628854682,1.0,1.439008,0.668876,0,1.3090196945021069,1.3090196945021069
